"center_id"	"patient_id"	"sex"	"weight"	"height"	"resting.bp.s"	"cholesterol"	"fasting.blood.sugar"	"physical_activity"	"dob"	"social_security_number"
"HOSPIT4224"	"PAT00001"	"M"	49.9	174	140	289	0	"Low"	"1984-03-12"	257550042468
"HOSPIT4224"	"PAT00002"	"F"	65.3	180	160	180	0	"Low"	"1975-03-12"	256554717209
"HOSPIT4224"	"PAT00003"	"M"	65.5	NA	130	283	0	"Intermediate"	"1987-03-12"	189806885976
"HOSPIT4224"	"PAT00004"	"F"	77.9	160	138	214	0	"Low"	"1976-03-12"	247398854753
"HOSPIT4224"	"PAT00005"	"M"	98.3	175	150	195	0	"Low"	"1970-03-12"	268015213541
"HOSPIT4224"	"PAT00006"	"Male"	73.1	155	120	339	0	"High"	"1985-03-12"	169316872175
"HOSPIT4224"	"PAT00007"	"F"	64.6	161	130	237	0	"Intermediate"	"1979-03-12"	199798047963
"HOSPIT4224"	"PAT00008"	"M"	94.2	188	110	208	0	"High"	"1970-03-12"	157349320759
"HOSPIT4224"	"PAT00009"	"M"	73.6	175	140	207	0	"High"	"1987-03-12"	266973457784
"HOSPIT4224"	"PAT00010"	"F"	65.1	190	120	284	0	"Low"	"1976-03-12"	272329151573
"HOSPIT4224"	"PAT00011"	"F"	90.3	167	130	211	0	"Intermediate"	"1987-03-12"	195408936466
"HOSPIT4224"	"PAT00012"	"M"	92	172	136	164	0	"Low"	"1966-03-12"	236276540518
"HOSPIT4224"	"PAT00013"	"M"	50.7	143	120	204	0	"Intermediate"	"1985-03-12"	271200400033
"HOSPIT4224"	"PAT00014"	"M"	94.5	172	140	234	0	"Low"	"1975-03-12"	164167203218
"HOSPIT4224"	"PAT00015"	"F"	52	182	115	211	0	"Low"	"1982-03-12"	239444138411
"HOSPIT4224"	"PAT00016"	"F"	75.4	186	120	273	0	"Low"	"1970-03-12"	224604876679
"HOSPIT4224"	"PAT00017"	"M"	86.2	184	110	196	0	"Intermediate"	"1986-03-12"	232701141411
"HOSPIT4224"	"PAT00018"	"F"	50.6	195	120	201	0	"Low"	"1981-03-12"	161351747986
"HOSPIT4224"	"PAT00019"	"M"	77.4	NA	100	248	0	"Low"	"1964-03-12"	175610030660
"HOSPIT4224"	"PAT00020"	"M"	80.6	NA	120	267	0	"Intermediate"	"1988-03-12"	262457223074
"HOSPIT4224"	"PAT00021"	"F"	72.3	170	100	223	0	"Intermediate"	"1981-03-12"	154130844410
